row,mfg_part_num,confidence,band,needs_human_review,reasons,attribute_slots,mobile_desc_len,duplicate_group_size
1,DCB518ASTS06G,85,HIGH,False,mobile_desc_short,2,55,1
2,3MABR-7100075678,100,HIGH,False,,2,72,1
3,3MABR-7100045865,100,HIGH,False,,2,72,1
4,3MABR-7100048736,100,HIGH,False,,2,72,1
5,3MABR-7100075690,100,HIGH,False,,2,72,1
6,3MABR-7100075692,100,HIGH,False,,2,72,1
7,3MABR-7100145365,100,HIGH,False,,2,72,1
8,5B-332-080,85,HIGH,False,mobile_desc_short,2,57,1
9,5B-332-120,85,HIGH,False,mobile_desc_short,2,57,1
10,9A-570-240,85,HIGH,False,mobile_desc_short,2,58,1
11,9A-570-320,85,HIGH,False,mobile_desc_short,2,58,1
12,DBD090094101F,60,MEDIUM,False,no_attributes|mobile_desc_short,0,54,1
13,DBDS12125A01F,100,HIGH,False,,2,67,1
14,DBDS12125G01F,100,HIGH,False,,2,67,1
15,DBDS14125A01F,100,HIGH,False,,3,67,1
16,DBDS14125G01F,100,HIGH,False,,3,67,1
17,49-94-0013,100,HIGH,False,,1,73,1
18,49-94-0029,100,HIGH,False,,1,73,1
19,49-94-0033,100,HIGH,False,,1,73,1
20,49-94-0001,100,HIGH,False,,1,73,1
21,49-94-0039,100,HIGH,False,,1,73,1
22,49-94-0043,100,HIGH,False,,1,73,1
23,49-94-0048,100,HIGH,False,,1,73,1
24,49-94-0053,100,HIGH,False,,1,73,1
25,49-94-0058,100,HIGH,False,,1,73,1
26,49-94-0063,100,HIGH,False,,1,73,1
27,49-94-0068,100,HIGH,False,,1,73,1
28,49-94-0073,100,HIGH,False,,1,73,1
29,49-94-0101,100,HIGH,False,,2,73,1
30,49-94-0107,100,HIGH,False,,2,73,1
31,49-94-0117,100,HIGH,False,,2,73,1
32,49-94-0123,100,HIGH,False,,2,73,1
33,49-94-0023,100,HIGH,False,,1,73,1
34,49-94-0121,100,HIGH,False,,3,73,1
35,49-94-0127,100,HIGH,False,,2,73,1
36,49-94-0137,100,HIGH,False,,2,73,1
37,49-94-0160,100,HIGH,False,,2,73,1
38,49-94-0223,100,HIGH,False,,2,73,1
39,49-94-0445,100,HIGH,False,,2,73,1
40,49-94-0803,100,HIGH,False,,1,68,1
41,49-94-0903,100,HIGH,False,,1,68,1
42,49-94-0907,100,HIGH,False,,1,68,1
43,49-94-0923,100,HIGH,False,,1,68,1
44,49-94-1900,100,HIGH,False,,1,73,1
45,49-94-1905,100,HIGH,False,,1,73,1
46,49-94-1915,100,HIGH,False,,1,73,1
47,49-94-1920,100,HIGH,False,,1,73,1
48,49-94-1925,100,HIGH,False,,1,73,1
49,49-94-1935,100,HIGH,False,,1,73,1
50,49-94-1940,100,HIGH,False,,1,73,1
51,49-94-0501,100,HIGH,False,,1,75,1
52,49-94-0503,100,HIGH,False,,1,75,1
53,49-94-0523,100,HIGH,False,,1,75,1
54,49-94-1955,100,HIGH,False,,1,75,1
55,49-94-1965,100,HIGH,False,,1,75,1
56,49-94-0513,100,HIGH,False,,1,75,1
57,49-94-0533,100,HIGH,False,,1,75,1
58,DFBLBLOMFN01G,85,HIGH,False,mobile_desc_short,1,57,1
59,1700-1PK-BB40,85,HIGH,False,mobile_desc_short,2,46,1
60,ASH-40-40-04,100,HIGH,False,,2,79,1
61,KDFM404KPS,85,HIGH,False,mobile_desc_short,15,57,1
62,PDSH4816AF,100,HIGH,False,,15,65,1
63,PDT715SYVFS,85,HIGH,False,mobile_desc_short,15,50,1
64,LDPH5554D,85,HIGH,False,mobile_desc_short,15,49,1
65,WDTS7024RZ,85,HIGH,False,mobile_desc_short,15,57,1
66,PDD415PYYFS,85,HIGH,False,mobile_desc_short,15,50,1
67,KDTS424SBE,85,HIGH,False,mobile_desc_short,15,57,1
68,KDTS324SPS,85,HIGH,False,mobile_desc_short,15,57,1
69,KDPS624SJP,85,HIGH,False,mobile_desc_short,15,57,1
70,KDTS624SBE,85,HIGH,False,mobile_desc_short,15,57,1
71,D519127,45,LOW,True,no_attributes|mobile_desc_short|sparse_input_desc|brand_unresolved,0,50,1
72,DF7004WE,85,HIGH,False,mobile_desc_short,2,58,1
73,DR7004BE,85,HIGH,False,mobile_desc_short,2,58,1
74,DV2000WE,85,HIGH,False,mobile_desc_short,2,58,1
75,DC5004WE,85,HIGH,False,mobile_desc_short,2,58,1
76,DC5004BE,85,HIGH,False,mobile_desc_short,2,58,1
77,WKE100HWA,85,HIGH,False,mobile_desc_short,1,53,1
78,FF7011WN,85,HIGH,False,mobile_desc_short,2,59,1
79,PTD70GBPTDG,85,HIGH,False,mobile_desc_short,2,45,1
80,PTD70GBSTWS,85,HIGH,False,mobile_desc_short,2,45,1
81,DR5004WG,85,HIGH,False,mobile_desc_short,2,58,1
82,DR7004BG,85,HIGH,False,mobile_desc_short,2,58,1
83,DR7004WG,85,HIGH,False,mobile_desc_short,2,58,1
84,DV2000WG,85,HIGH,False,mobile_desc_short,2,58,1
85,DC5004WG,85,HIGH,False,mobile_desc_short,2,58,1
86,DC5004BG,85,HIGH,False,mobile_desc_short,2,58,1
87,PTW705BSTWS,85,HIGH,False,mobile_desc_short,2,46,1
88,MVWP586GW,85,HIGH,False,mobile_desc_short,1,48,1
89,TV2000WN,60,MEDIUM,False,no_attributes|mobile_desc_short,0,59,1
90,TC5003BN,85,HIGH,False,mobile_desc_short,2,59,1
91,TR7006WN,85,HIGH,False,mobile_desc_short,2,59,1
92,TR7006BN,85,HIGH,False,mobile_desc_short,2,59,1
93,TR5006WN,85,HIGH,False,mobile_desc_short,2,59,1
94,05134545001,75,MEDIUM,False,no_attributes,0,61,1
95,LNL65301,45,LOW,True,no_attributes|mobile_desc_short|manufacturer_unresolved|brand_unresolved,0,29,1
96,25-A,80,HIGH,False,mobile_desc_short|brand_unresolved,1,45,1
97,38-E,55,LOW,True,no_attributes|mobile_desc_short|brand_unresolved,0,45,1
98,59-J,55,LOW,True,no_attributes|mobile_desc_short|brand_unresolved,0,45,1
99,44-A,55,LOW,True,no_attributes|mobile_desc_short|brand_unresolved,0,45,1
100,543302126,85,HIGH,False,mobile_desc_short,3,52,1
101,543302146,85,HIGH,False,mobile_desc_short,3,52,1
102,73019603,85,HIGH,False,mobile_desc_short,1,41,1
103,73019652,85,HIGH,False,mobile_desc_short,1,41,1
104,73019517,85,HIGH,False,mobile_desc_short,1,41,1
105,73019602,85,HIGH,False,mobile_desc_short,3,38,1
106,73019651,85,HIGH,False,mobile_desc_short,3,38,1
107,73019516,85,HIGH,False,mobile_desc_short,3,38,1
108,543300256,85,HIGH,False,mobile_desc_short,3,57,1
109,543300276,85,HIGH,False,mobile_desc_short,3,57,1
110,73045028,85,HIGH,False,mobile_desc_short,1,42,1
111,73045031,85,HIGH,False,mobile_desc_short,3,38,1
112,543340126,100,HIGH,False,,4,61,1
113,543340127,100,HIGH,False,,4,61,1
114,543340146,100,HIGH,False,,4,61,1
115,543340147,100,HIGH,False,,4,61,1
116,ADB15516CS,100,HIGH,False,,4,64,1
117,ADB15520CS,100,HIGH,False,,4,64,1
118,ADB15516EW,100,HIGH,False,,3,64,1
119,ADB15520EW,100,HIGH,False,,3,64,1
120,ADB15516MH,100,HIGH,False,,4,64,1
121,ADB15520MH,100,HIGH,False,,4,64,1
122,ADB15516WT,100,HIGH,False,,3,64,1
123,ADB15520WT,100,HIGH,False,,3,64,1
124,AGB15512CS,100,HIGH,False,,4,64,1
125,AGB15516CS,100,HIGH,False,,4,64,1
126,AGB15520CS,100,HIGH,False,,4,64,1
127,AGB15512EW,100,HIGH,False,,3,64,1
128,AGB15516EW,100,HIGH,False,,3,64,1
129,AGB15520EW,100,HIGH,False,,3,64,1
130,AGB15512MH,100,HIGH,False,,4,64,1
131,AGB15516MH,100,HIGH,False,,4,64,1
132,AGB15520MH,100,HIGH,False,,4,64,1
133,AGB15512WT,100,HIGH,False,,3,64,1
134,AGB15516WT,100,HIGH,False,,3,64,1
135,AGB15520WT,100,HIGH,False,,3,64,1
136,ADB15516AW,100,HIGH,False,,3,65,1
137,ADB15520AW,100,HIGH,False,,3,65,1
138,ADB15516CG,100,HIGH,False,,3,65,1
139,ADB15520CG,100,HIGH,False,,3,65,1
140,ADB15516FW,100,HIGH,False,,4,65,1
141,ADB15520FW,100,HIGH,False,,4,65,1
142,AGB15512AW,100,HIGH,False,,3,65,1
143,AGB15516AW,100,HIGH,False,,3,65,1
144,AGB15520AW,100,HIGH,False,,3,65,1
145,AGB15512CG,100,HIGH,False,,3,65,1
146,AGB15516CG,100,HIGH,False,,3,65,1
147,AGB15520CG,100,HIGH,False,,3,65,1
148,AGB15512FW,100,HIGH,False,,4,65,1
149,AGB15516FW,100,HIGH,False,,4,65,1
150,AGB15520FW,100,HIGH,False,,4,65,1
151,ADCB15516BS,100,HIGH,False,,3,65,1
152,ADCB15520BS,100,HIGH,False,,3,65,1
153,ADCB15516SG,100,HIGH,False,,4,65,1
154,ADCB15520SG,100,HIGH,False,,4,65,1
155,AGB15512BS,100,HIGH,False,,3,64,1
156,AGB15516BS,100,HIGH,False,,3,64,1
157,AGB15520BS,100,HIGH,False,,3,64,1
158,AGB15512SG,100,HIGH,False,,4,64,1
159,AGB15516SG,100,HIGH,False,,4,64,1
160,AGB15520SG,100,HIGH,False,,4,64,1
161,543140016,100,HIGH,False,,1,70,1
162,543140020,100,HIGH,False,,1,70,1
163,543142016,100,HIGH,False,,1,70,1
164,543142020,100,HIGH,False,,1,70,1
165,543144016,100,HIGH,False,,1,70,1
166,543144020,100,HIGH,False,,1,70,1
167,543143016,100,HIGH,False,,1,70,1
168,543143020,100,HIGH,False,,1,70,1
169,543141016,100,HIGH,False,,1,70,1
170,543141020,100,HIGH,False,,1,70,1
171,543140412,100,HIGH,False,,1,70,1
172,543140416,100,HIGH,False,,1,70,1
173,543140420,100,HIGH,False,,1,70,1
174,543142412,100,HIGH,False,,1,70,1
175,543142416,100,HIGH,False,,1,70,1
176,543142420,100,HIGH,False,,1,70,1
177,543144412,100,HIGH,False,,1,70,1
178,543144416,100,HIGH,False,,1,70,1
179,543144420,100,HIGH,False,,1,70,1
180,543143412,100,HIGH,False,,1,70,1
181,543143416,100,HIGH,False,,1,70,1
182,543143420,100,HIGH,False,,1,70,1
183,543141412,100,HIGH,False,,1,70,1
184,543141416,100,HIGH,False,,1,70,1
185,543141420,100,HIGH,False,,1,70,1
186,1513703,100,HIGH,False,,1,72,1
187,1513704,100,HIGH,False,,1,72,1
188,1513705,100,HIGH,False,,1,72,1
189,1513706,100,HIGH,False,,1,72,1
190,1513707,100,HIGH,False,,1,72,1
191,1513708,100,HIGH,False,,1,72,1
192,1513709,100,HIGH,False,,1,72,1
193,1513710,100,HIGH,False,,1,72,1
194,1513711,100,HIGH,False,,1,72,1
195,1513712,100,HIGH,False,,1,72,1
196,1513717,100,HIGH,False,,1,71,1
197,1513718,100,HIGH,False,,1,71,1
198,1513719,100,HIGH,False,,1,71,1
199,1513720,100,HIGH,False,,1,71,1
200,1513721,100,HIGH,False,,1,71,1
201,1513724,100,HIGH,False,,1,70,1
202,1513725,100,HIGH,False,,1,70,1
203,1513726,100,HIGH,False,,1,70,1
204,1513727,100,HIGH,False,,1,70,1
205,1513728,100,HIGH,False,,1,70,1
206,543076016,100,HIGH,False,,1,73,1
207,543076020,100,HIGH,False,,1,73,1
208,543076412,100,HIGH,False,,1,73,1
209,543076416,100,HIGH,False,,1,73,1
210,543076420,100,HIGH,False,,1,73,1
211,1516870,100,HIGH,False,,1,71,1
212,1516871,100,HIGH,False,,1,71,1
213,1516872,100,HIGH,False,,1,71,1
214,1516873,100,HIGH,False,,1,71,1
215,1516874,100,HIGH,False,,1,71,1
216,1516879,100,HIGH,False,,1,70,1
217,1516880,100,HIGH,False,,1,70,1
218,1516881,100,HIGH,False,,1,70,1
219,1516882,100,HIGH,False,,1,70,1
220,1516883,100,HIGH,False,,1,70,1
221,543005016,100,HIGH,False,,1,71,1
222,543005020,100,HIGH,False,,1,71,1
223,543005412,100,HIGH,False,,1,71,1
224,543005416,100,HIGH,False,,1,71,1
225,543005420,100,HIGH,False,,1,71,1
226,1516891,100,HIGH,False,,1,69,1
227,1516892,100,HIGH,False,,1,69,1
228,1516893,100,HIGH,False,,1,69,1
229,1516894,100,HIGH,False,,1,69,1
230,1516895,100,HIGH,False,,1,69,1
231,543007016,100,HIGH,False,,1,71,1
232,543007020,100,HIGH,False,,1,71,1
233,543007412,100,HIGH,False,,1,71,1
234,543007416,100,HIGH,False,,1,71,1
235,543007420,100,HIGH,False,,1,71,1
236,ADR5117512CS,100,HIGH,False,,4,61,1
237,ADR5117512MH,100,HIGH,False,,4,61,1
238,ADR5117512WT,100,HIGH,False,,3,61,1
239,ADR5117512AW,100,HIGH,False,,3,62,1
240,ADR5117512CG,100,HIGH,False,,3,62,1
241,ADR5117512FW,100,HIGH,False,,4,62,1
242,1508395,85,HIGH,False,mobile_desc_short,3,56,1
243,1508396,85,HIGH,False,mobile_desc_short,4,56,1
244,ADCR5117512BS,100,HIGH,False,,3,62,1
245,ADCR5117512SG,100,HIGH,False,,4,62,1
246,543140908,100,HIGH,False,,2,68,1
247,543142908,100,HIGH,False,,2,68,1
248,543143908,100,HIGH,False,,2,68,1
249,543140912,100,HIGH,False,,2,68,1
250,543142912,100,HIGH,False,,2,68,1
251,543143912,100,HIGH,False,,2,68,1
252,1513715,100,HIGH,False,,2,70,1
253,1513716,100,HIGH,False,,2,70,1
254,1513722,100,HIGH,False,,2,71,1
255,1513723,100,HIGH,False,,2,71,1
256,1513729,100,HIGH,False,,2,70,1
257,1513730,100,HIGH,False,,2,70,1
258,543076916,100,HIGH,False,,2,73,1
259,1516876,100,HIGH,False,,2,71,1
